Περιγραφή|Κώδικας
Αναζήτηση για το ΚΛΕΙΔΙ τουλάχιστον 3 φορές σε πίνακα Π[100]. Αν το ΚΛΕΙΔΙ βρεθεί 3 φορές η αναζήτηση επιστρέφει την θέση της 3ης εμφάνισης στον Π|ΒΡΕΘΗΚΕ <- ΨΕΥΔΗΣ\nΘΕΣΗ <- 0\nΙ <- 1\nΜΕΤΡΗΤΗΣ <- 0\nΟΣΟ Ι <= %100% ΚΑΙ ΒΡΕΘΗΚΕ = %ΨΕΥΔΗΣ% ΕΠΑΝΑΛΑΒΕ\n  ΑΝ Π[Ι] = ΚΛΕΙΔΙ ΤΟΤΕ\n    ΜΕΤ <- ΜΕΤ + 1\n  ΤΕΛΟΣ_ΑΝ\n  ΑΝ ΜΕΤ = %3% ΤΟΤΕ\n    ΒΡΕΘΗΚΕ <- %ΑΛΗΘΗΣ%\n    ΘΕΣΗ <- %Ι%\n  ΑΛΛΙΩΣ\n    Ι <- Ι + 1\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Υπολογισμός αθροίσματος Κ = 4+5+6+7+8+9+10|Κ <- 0\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ 7\n  Λ <- %Ι% + %3%\n  Κ <- Κ + Λ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Υπολογισμός αθροίσματος Κ = 1+2^2+3^2+4^2+5^2+6^2+7^2|Κ <- 0\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ 7\n  Λ <- %Ι% ^ %2%\n  Κ <- Κ + Λ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Υπολογισμός αθροίσματος Κ = 2^1+2^2+2^3+2^4+2^5+2^6+2^7|Κ <- 0\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ 7\n  Λ <- %2% ^ %Ι%\n  Κ <- Κ + Λ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Υπολογισμός αθροίσματος Κ = 3+5+7+9+11+13+15|Κ <- 0\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ 7\n  Λ <- %2% * %Ι% + %1%\n  Κ <- Κ + Λ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Υπολογισμός αθροίσματος Κ = 1/2+1/3+1/4+1/5+1/6+1/7+1/8|Κ <- 0\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ 7\n  Λ <- %1% / (%Ι+1%)\n  Κ <- Κ + Λ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Αντιγραφή μονοδιάστατου Α[20] στην 1η γραμμή δισδιάστατου Π[10,20]|ΓΙΑ J ΑΠΟ 1 ΜΕΧΡΙ %20%\n  Π[1, %J%] <- Α[%J%]\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Αντιγραφή 3ης στήλης δισδιάστατου Π[10,20] σε μονοδιάστατο Β[10]|ΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ %10%\n  Β[Ι] <- Π[%Ι%, %3%]\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Μεταφορά δισδιάστατου Π[5,4] σε μονοδιάστατο Α[20] κατά γραμμή|Κ <- 1\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ 5\n  ΓΙΑ J ΑΠΟ 1 ΜΕΧΡΙ 4\n    Α[%Κ%] <- Π[%Ι%, J]\n    Κ <- %Κ% + 1\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Μεταφορά μονοδιάστατου Α[20] σε δισδιάστατο Π[5,4] κατά γραμμή|%Κ% <- 1\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ 5\n  ΓΙΑ J ΑΠΟ 1 ΜΕΧΡΙ %4%\n    Π[Ι, %J%] <- Α[Κ]\n    Κ <- Κ + 1\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Έλεγχος αν ένας πίνακας Π[100] είναι ταξινομημένος σε αύξουσα σειρά με χρήση ΦΡΟΥΡΟΥ|ΦΡΟΥΡΟΣ <- ΑΛΗΘΗΣ\nΙ <- 1\nΟΣΟ Ι <= %99% ΚΑΙ ΦΡΟΥΡΟΣ = %ΑΛΗΘΗΣ% ΕΠΑΝΑΛΑΒΕ\n  ΑΝ Π[Ι] %>% Π[Ι+1] ΤΟΤΕ\n    ΦΡΟΥΡΟΣ <- ΨΕΥΔΗΣ\n  ΑΛΛΙΩΣ\n    Ι <- Ι + 1\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Εύρεση Μέγιστου και Ελάχιστου σε πίνακα Π[50]|ΜΑΧ <- Π[%1%]\nΜΙΝ <- Π[1]\nΓΙΑ Ι ΑΠΟ 2 ΜΕΧΡΙ 50\n  ΑΝ Π[Ι] %>% ΜΑΧ ΤΟΤΕ\n    ΜΑΧ <- Π[Ι]\n  ΤΕΛΟΣ_ΑΝ\n  ΑΝ Π[Ι] < %ΜΙΝ% ΤΟΤΕ\n    ΜΙΝ <- Π[Ι]\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Υπολογισμός αθροίσματος ανά γραμμή σε πίνακα Π[10,5]|ΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ %10%\n  Σ <- %0%\n  ΓΙΑ J ΑΠΟ 1 ΜΕΧΡΙ 5\n    %Σ% <- %Σ% + Π[Ι, J]\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\n  ΓΡΑΨΕ 'Άθροισμα γραμμής ', Ι, ': ', Σ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Σειριακή αναζήτηση σε μη ταξινομημένο πίνακα Π[100] με χρήση ΦΡΟΥΡΟΥ|ΦΡΟΥΡΟΣ <- ΨΕΥΔΗΣ\nΙ <- %1%\nΟΣΟ Ι <= 100 ΚΑΙ ΦΡΟΥΡΟΣ = %ΨΕΥΔΗΣ% ΕΠΑΝΑΛΑΒΕ\n  ΑΝ Π[Ι] = ΚΛΕΙΔΙ ΤΟΤΕ\n    ΦΡΟΥΡΟΣ <- %ΑΛΗΘΗΣ%\n    ΘΕΣΗ <- %Ι%\n  ΑΛΛΙΩΣ\n    Ι <- %Ι% + 1\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Αντιστροφή στοιχείων πίνακα Α[10] χωρίς βοηθητικό πίνακα|ΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ %5%\n  ΤΕΜΠ <- Α[Ι]\n  Α[Ι] <- Α[%11% - Ι]\n  Α[&11& - Ι] <- %ΤΕΜΠ%\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Υπολογισμός παραγοντικού Ν! = 1*2*3*...*N|ΔΙΑΒΑΣΕ Ν\nΠΑΡ <- %1%\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ %Ν%\n  ΠΑΡ <- %ΠΑΡ% * Ι\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΓΡΑΨΕ ΠΑΡ
